Nama Event,Lokasi,Kategori,Tanggal Mulai,Tanggal Selesai,Deskripsi,URL Detail
Gebrag Ngadu Bedug,Pandeglang | Banten,Event Budaya,07 Juni 2025,09 Juni 2025," Gebrag Ngadu Bedug adalah upaya revitalisasi tradisi yang telah lama hilang. Tradisi ini sempat terhenti selama lebih dari 30 tahun, diinisiasi kembali oleh para pelaku seni dan budaya setempat.",https://eventdaerah.kemenparekraf.go.id/detail-event/gebrag-ngadu-bedug
Festival Bakar Tongkang,Rokan Hilir | Riau,Event Budaya,10 Juni 2025,12 Juni 2025," Festival Bakar Tongkang adalah perayaan tradisi yang kaya akan sejarah dan budaya. Diselenggarakan setiap tahun di Bagansiapiapi, festival ini menampilkan ritual pembakaran tongkang yang sarat dengan doa.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bakar-tongkang-3
Festival Nasional Reog Ponorogo dan Grebeg Suro,Ponorogo | Jawa Timur,Event Budaya,17 Juni 2025,26 Juni 2025, Festival Nasional Reog Ponorogo (FNRP) diselenggarakan bersamaan dengan Perayaan Grebeg Suro hingga puncak kegiatannya bertepatan dengan pergantian tahun baru Islam 1 Muharram. Event ini merupakakan motor penggerak berbagai event lainnya.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-nasional-reog-ponorogo-dan-grebeg-suro
Festival Bamboo Rafting,Hulu Sungai Selatan | Kalimantan Selatan,Event Budaya,17 Juni 2025,23 Juni 2025," Festival Bamboo Rafting merupakakan event pariwisata unggulan di Kabupaten Hulu Sungai Selatan. Event ini dilaksanakan dengan nama Festival Loksado.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bamboo-rafting-2
Maniamolo Fest,Nias Selatan | Sumatera Utara,Event Budaya,22 Juni 2025,29 Juni 2025," Maniamölö Fest adalah acara tahunan yang dimulai pada tahu 2021. Acara ini menampilkan nilai-nilai budaya dan kearifan lokal dari Ori (Desa) Maniamølö, Nias Selatan, dikemas secara menarik.",https://eventdaerah.kemenparekraf.go.id/detail-event/maniamolo-fest
Tubaba Art Festival,Tulang Bawang Barat | Lampung,Event Seni,24 Juni 2025,26 Juni 2025, Tubaba Art Festival (TAF) adalah festival berbasis kreativitas warga Tubaba yang diselenggarakan setiap tahun. Festival ini merupakakan media presentasi akhir kelas-kelas kesenian bagi bagi warg a (kemudian dikenal sebagai Sekolah Tubaba),https://eventdaerah.kemenparekraf.go.id/detail-event/tubaba-art-festival-3
Festival Tabut,Bengkulu | Bengkulu,Event Budaya,27 Juni 2025,06 Juli 2025, Festival Tabut merupakakan event budaya ikonik Provinsi Bengkulu yang menampikan tradisional kemeriahan perayaan tahun barus Islam dengan karnaval bangunan tabut. Puncaknya adalah pada hari ke-10 yaitu arakan/karnaval tabut tebuang.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tabut-3
Festival Rakik- Rakik,Agam | Sumatera Barat,Event Budaya,28 Juni 2025,30 Juni 2025," Festival Rakik-Rakik, sebuah perayaan tradisi, kreativitas, dan semangat kebersamaan yang memukau. Acara tahunan ini menghidupkan sejarah menarik rakik-rakik (rakit hias), di mana komunitas lokal berlomba.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-rakik-rakik
Festival Biak Munara Wampasi,Biak Numfor | Papua,Event Budaya,01 Juli 2025,04 Juli 2025," Festival Biak Munara Wampasi adalah event tahunan yang mempromosikan potensi pariwisata Kabupaten Biak Numfor. Festival ini melalui pagelaran budaya, wisata bahari, pesona alam, kuliner khas, dan pameran ekonomi kreatif.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-biak-munara-wampasi
Festival Bunga dan Buah Karo,Karo | Sumatera Utara,Event Karnaval,03 Juli 2025,05 Juli 2025," Festival Bunga dan Buah Karo adalah perayaan spektakuler yang menonjolkan kekayaan alam dan budaya Kabupaten Karo, Sumatera Utara. Festival ini merayakan hasil pertanian lokal, terutama bunga dan buah-buahan, sambil menggali aspek budaya dan tradisi.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bunga-dan-buah-karo-2
